Local GovernmentTaxVendor #FY Total,,,,,,,,,,
ABINGDON,MT,390000010,JUL - DEC,"14,431.32","15,022.93","15,475.31","15,176.58","16,567.64","15,904.45",
"",,,JAN - JUN,"14,754.32","12,574.88","14,345.57","11,864.03","11,709.57","13,335.26","171,161.86"
ADAMS COUNTY GOVERNMENT,CST,290000001,JUL - DEC,"159,132.65","168,091.84","171,715.11","160,947.21","171,550.19","156,210.87",
"",,,JAN - JUN,"151,495.76","163,782.96","201,237.61","132,415.92","135,195.01","154,981.65","1,926,756.78"
ADAMS COUNTY GOVERNMENT,CT,290000001,JUL - DEC,"48,382.04","53,605.68","47,017.72","48,060.86","48,909.90","47,415.53",
"",,,JAN - JUN,"52,436.74","42,317.67","46,379.17","33,618.64","31,736.73","38,569.53","538,450.21"
ADDIEVILLE,MT,390000018,JUL - DEC,"3,108.48","3,433.60","2,594.05","4,469.31","4,012.69","3,007.48",
"",,,JAN - JUN,"4,257.37","3,546.12","2,471.41","2,112.52","2,069.66","2,839.29","37,921.98"
ADDISON,HMR,390000029,JUL - DEC,"462,284.94","443,814.00","462,374.15","455,926.11","454,770.83","466,197.61",
"",,,JAN - JUN,"431,923.83","423,127.27","427,338.38","357,700.96","332,138.77","342,590.17","5,060,187.02"
ADDISON,MT,390000029,JUL - DEC,"728,480.49","693,102.42","719,188.22","700,343.58","712,641.95","723,380.77",
"",,,JAN - JUN,"667,297.00","664,179.85","676,889.12","567,017.95","524,588.21","564,277.62","7,941,387.18"
ADDISON,MTART,390000029,JUL - DEC,22.77,21.37,163.44,140.80,125.08,108.48,
"",,,JAN - JUN,87.82,73.90,79.71,61.11,8.02,33.82,926.32
ADELINE,MT,390000030,JUL - DEC,164.15,152.98,137.74,189.16,164.32,245.76,
"",,,JAN - JUN,191.78,127.58,235.48,156.64,244.13,154.26,"2,163.98"
ALBANY,MT,390000020,JUL - DEC,"4,879.42","4,048.05","4,255.50","3,891.57","3,905.23","3,194.30",
"",,,JAN - JUN,"3,519.19","3,099.44","2,079.77","1,633.56","2,460.04","2,813.73","39,779.80"
ALBERS,MT,390000045,JUL - DEC,"7,654.14","6,595.32","6,739.86","6,551.07","6,271.40","7,337.60",
"",,,JAN - JUN,"5,406.68","4,715.06","6,007.92","4,697.99","4,452.71","4,444.61","70,874.36"
ALBION,MT,390000050,JUL - DEC,"21,127.85","22,613.80","21,820.96","23,301.07","21,706.82","19,760.32",
"",,,JAN - JUN,"20,035.26","16,819.33","16,609.77","16,918.32","15,233.02","18,939.23","234,885.75"
